iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
NPL,NPL,175,Nepal,State,drought_spei_copernicus_1940-2024,1611068.7205626315,10224510.71822854,29560529.350814573
HRV,HRV,62,Croatia,State,drought_spei_copernicus_1940-2024,96216.29677605022,671401.7886066571,3814352.804866864
PAK,PAK,188,Pakistan,State,drought_spei_copernicus_1940-2024,96862671.38290602,107859795.79446097,248770628.08991215
IRN,IRN,117,Iran (Islamic Republic of),State,drought_spei_copernicus_1940-2024,3532488.51197319,24315760.85826828,90510901.1693366
IRQ,IRQ,118,Iraq,State,drought_spei_copernicus_1940-2024,1915.637758128345,19718366.3495142,45596938.15782804
BHR,BHR,21,Bahrain,State,drought_spei_copernicus_1940-2024,293898.9957229234,294136.04234694474,1274280.3945162487
QAT,QAT,201,Qatar,State,drought_spei_copernicus_1940-2024,0.0,525144.2110599987,3008583.4686393905
BGD,BGD,23,Bangladesh,State,drought_spei_copernicus_1940-2024,50998992.78620613,58885535.06426558,172244597.51491636
AFG,AFG,1,Afghanistan,State,drought_spei_copernicus_1940-2024,5000500.542385221,20936240.233028986,41994830.06975488
LKA,LKA,231,Sri Lanka,State,drought_spei_copernicus_1940-2024,5655924.854841567,6184168.82043986,22721976.34778995
NCL,NCL,178,New Caledonia,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,358.21308980128345,65810.43454747007,253993.87692264805
ASM,ASM,5,American Samoa (USA),Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,14736.56941334131,43375.30869603411
IND,IND,115,India,State,drought_spei_copernicus_1940-2024,269727566.1920489,429033200.0297149,1423251741.70589
GGY,GGY,104,Guernsey,Territory,drought_spei_copernicus_1940-2024,0.0,10950.67750471385,61372.251372322986
GUM,GUM,101,Guam (USA),Non-Self Governing Territory,drought_spei_copernicus_1940-2024,43642.91172122911,50487.61089682401,162074.49419516211
IMN,IMN,120,Isle of Man,Territory,drought_spei_copernicus_1940-2024,14738.849349591734,14815.5585762533,81148.04656553558
JEY,JEY,128,Jersey,Territory,drought_spei_copernicus_1940-2024,12641.62148162181,18067.60178644833,97117.64018362292
SPM,SPM,210,Saint Pierre et Miquelon,Territory,drought_spei_copernicus_1940-2024,81.22531176359922,1002.2698356302092,5160.521783569209
FRO,FRO,82,Faroe Islands,Territory,drought_spei_copernicus_1940-2024,2960.259508105368,10615.136152522731,45318.06391283055
ALA,ALA,1000,Åland Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,24356.800147148235
SJM,SJM,234,Svalbard and Jan Mayen Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,7.739739894880897
GRL,GRL,98,Greenland,Self Governing Territory,drought_spei_copernicus_1940-2024,820.9561809639886,6477.861334156774,27103.05289813479
xKI,xRI,136,Kuril Islands,Sovereignty unsettled,drought_spei_copernicus_1940-2024,3367.4510931149107,3437.7847435544504,15357.129547545395
VGB,VGB,39,British Virgin Islands,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,7350.751071621346,35036.67130088174
AIA,AIA,9,Anguilla,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,3104.9250468027253,13037.795331621564
TCA,TCA,251,Turks and Caicos Islands,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,9016.84975392375,41729.440228630105
MSR,MSR,168,Montserrat,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,884.1378015468772,4043.19030483576
BMU,BMU,30,Bermuda,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,10864.008378721916,55435.12237798182
TKL,TKL,244,Tokelau,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,786.5965596395358,2452.9999413534915
VIR,VIR,258,United States Virgin Islands (USA),Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,17127.11732145068,79596.85785826089
CYM,CYM,48,Cayman Islands,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,14226.035578423203,66843.62950955326
PYF,PYF,87,French Polynesia,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,48063.293454564126,59522.13154375121,234401.43575014835
KOR,KOR,202,Republic of Korea,State,drought_spei_copernicus_1940-2024,272737.6251528231,6794531.02298312,50911450.6384239
CAN,CAN,46,Canada,State,drought_spei_copernicus_1940-2024,3599650.629019474,7176339.107019919,38885806.107876346
RUS,RUS,204,Russian Federation,State,drought_spei_copernicus_1940-2024,7598405.724249357,29900900.459764533,144449734.22396287
JPN,JPN,126,Japan,State,drought_spei_copernicus_1940-2024,8858608.101821318,17219079.330445983,121051429.1856766
NZL,NZL,179,New Zealand,State,drought_spei_copernicus_1940-2024,225544.6436458408,1136877.348168047,5098976.532638797
BHS,BHS,20,Bahamas,State,drought_spei_copernicus_1940-2024,8489.074468965224,89251.8019964396,378927.81558878673
TON,TON,245,Tonga,State,drought_spei_copernicus_1940-2024,0.0,43568.60091921578,89068.38999731428
FSM,FSM,163,Micronesia (Federated States of),State,drought_spei_copernicus_1940-2024,0.0,0.0,97941.54496192724
MHL,MHL,157,Marshall Islands,State,drought_spei_copernicus_1940-2024,0.0,4940.814034338382,11478.30927858868
NRU,NRU,173,Nauru,State,drought_spei_copernicus_1940-2024,0.0,3406.779416942735,7921.69449452159
